Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Temp: 50°F, Wind: 10 mph, Light Rain Likely"
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,"Temp: 50°F, Wind: 9 mph, Light Rain Likely"
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,N/A
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,N/A
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,"Temp: 37°F, Wind: 2 to 6 mph, Mostly Cloudy"
Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District,-13.248885,-41.0275842,N/A
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Temp: 56°F, Wind: 12 to 17 mph, Rain Showers"
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,-13.248885,-41.0275842,N/A
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Temp: 45°F, Wind: 8 mph, Chance Light Rain"
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,"Temp: 46°F, Wind: 8 mph, Chance Light Rain"
Poolside,2/2/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Temp: 45°F, Wind: 8 mph, Chance Light Rain"
